Result of replaying M1.tpn on Process 12 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Queued States","Num. States","Calculation Time (ms)","Move-Log Fitness","Trace Fitness","Trace Length","Move-Model Fitness",Match
20,"instance_3",1,Yes,"13,00","2.830,00","2.641,00","16,00","0,84","0,71","37,00","0,82",[L/M]A|[L]AC+complete|[L/M]C|[L/M]AA|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AF|[L/M]AJ|[L/M]AH|[L/M]AC|[M-REAL]AD|[L]AB+complete|[L/M]AE|[L/M]AC|[L]AG+complete|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AI|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L]AE+complete|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L]AD+complete|[L]AD+complete|[L/M]AC|[L/M]AD|[M-REAL]AG|[M-REAL]t29t27|[M-REAL]AB|[L/M]D|[L/M]B
21,"instance_383",1,Yes,"14,00","2.911,00","2.753,00","16,00","0,78","0,69","37,00","0,83",[L/M]A|[L]AC+complete|[L/M]C|[L]AG+complete|[L/M]AA|[L/M]AC|[L/M]AD|[M-REAL]AF|[L/M]AJ|[L]B+complete|[L/M]AE|[L/M]AI|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L]AF+complete|[L]AC+complete|[L]AE+complete|[L]AE+complete|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AH|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AG|[M-REAL]t29t27|[L/M]AB|[L/M]D|[M-REAL]B
22,"instance_168",1,Yes,"18,00","3.033,00","2.863,00","21,00","0,71","0,57","34,00","0,75",[M-REAL]A|[L/M]C|[L/M]AA|[L]AH+complete|[L/M]AF|[L]AE+complete|[L/M]AJ|[L]AD+complete|[L/M]AC|[L/M]AI|[M-REAL]AH|[L/M]AG|[L]AC+complete|[L/M]AD|[L]AC+complete|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L]D+complete|[L/M]AD|[L]A+complete|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L]AE+complete|[L/M]AC|[L/M]AD|[L]B+complete|[L]AD+complete|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[M-REAL]B
23,"instance_180",1,Yes,"15,00","2.597,00","2.390,00","15,00","0,71","0,64","34,00","0,83",[M-REAL]A|[L]AC+complete|[L]AD+complete|[L/M]C|[L/M]AA|[L/M]AC|[L]AC+complete|[L/M]AF|[L/M]AD|[L/M]AH|[L/M]AJ|[L/M]AE|[L/M]AI|[L/M]AG|[L/M]AC|[L]AC+complete|[L]AC+complete|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L]AE+complete|[L]A+complete|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L]D+complete|[L]AD+complete|[L/M]AB|[M-REAL]D|[L]AE+complete|[L/M]B
24,"instance_378",1,Yes,"9,00","2.125,00","1.870,00","16,00","0,88","0,79","34,00","0,86",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AI|[L/M]AD|[L/M]AH|[L/M]AJ|[L/M]AE|[L/M]AC|[L]AC+complete|[L/M]AG|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L]AC+complete|[L/M]AB|[L/M]D|[L/M]B
25,"instance_450",1,Yes,"10,00","1.895,00","1.638,00","21,00","0,82","0,76","34,00","0,88",[M-REAL]A|[L]AE+complete|[L/M]C|[L/M]AA|[L/M]AF|[L]AD+complete|[L/M]AC|[L/M]AD|[L/M]AJ|[L/M]AE|[L/M]AI|[L/M]AH|[L/M]AG|[L/M]AC|[L/M]AD|[L]A+complete|[L]AD+complete|[L]AD+complete|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L]AC+complete|[L/M]AB|[L/M]D|[L/M]B
26,"instance_382",1,Yes,"11,00","2.320,00","2.080,00","15,00","0,84","0,72","31,00","0,81",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AJ|[L/M]AH|[L/M]AI|[L]AE+complete|[L/M]AC|[L/M]AG|[L/M]AD|[L]AD+complete|[L/M]AE|[L]AD+complete|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L]AD+complete|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[L]B+complete|[L/M]D|[M-REAL]B
27,"instance_41",1,Yes,"12,00","2.237,00","2.057,00","0,00","0,75","0,67","28,00","0,81",[L/M]A|[L/M]C|[L/M]AA|[L]AE+complete|[L/M]AC|[M-REAL]AF|[L/M]AH|[L]AC+complete|[L/M]AD|[L/M]AE|[L/M]AI|[L]AD+complete|[L]AG+complete|[L]AD+complete|[L/M]AC|[L]AF+complete|[L]AC+complete|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AJ|[M-REAL]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AG|[L/M]AB|[L/M]D|[L/M]B
28,"instance_171",1,Yes,"13,00","1.995,00","1.809,00","256,00","0,76","0,61","25,00","0,73",[M-REAL]A|[M-REAL]C|[L]B+complete|[L/M]AA|[L]AD+complete|[L]AD+complete|[L/M]AF|[L/M]AC|[M-REAL]AD|[L/M]AE|[L]C+complete|[L/M]AI|[L/M]AJ|[L/M]AH|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L]D+complete|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[M-REAL]B|[L]A+complete
29,"instance_68",1,Yes,"13,00","2.323,00","2.178,00","14,00","0,76","0,61","25,00","0,73",[L/M]A|[L/M]C|[L/M]AA|[L]AG+complete|[L]AB+complete|[L/M]AF|[L/M]AC|[L/M]AH|[L]D+complete|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L]AC+complete|[L/M]AE|[L/M]AI|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L]AE+complete|[L/M]AC|[L/M]AD|[L]AD+complete|[L/M]AJ|[M-REAL]t29t27|[M-REAL]AG|[M-REAL]AB|[M-REAL]D|[L/M]B
30,"instance_353",1,Yes,"13,00","2.067,00","1.901,00","16,00","0,76","0,61","25,00","0,73",[M-REAL]A|[L]AD+complete|[L/M]C|[L/M]AA|[L]AI+complete|[L/M]AC|[L/M]AF|[L]AC+complete|[L/M]AD|[L/M]AH|[L]AC+complete|[L/M]AE|[L]AG+complete|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AJ|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[M-REAL]AI|[M-REAL]AG|[L]A+complete|[L/M]AB|[L/M]D|[L/M]B
31,"instance_112",1,Yes,"11,00","2.001,00","1.769,00","16,00","0,80","0,67","25,00","0,77",[L/M]A|[L/M]C|[M-REAL]AA|[M-REAL]AC|[L/M]AD|[L]AD+complete|[L/M]AF|[L/M]AE|[L/M]AC|[L/M]AH|[L/M]AI|[L]AC+complete|[L/M]AJ|[M-REAL]AD|[L]AA+complete|[L/M]AE|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L]AB+complete|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[L]AC+complete|[L/M]D|[L/M]B
32,"instance_104",1,Yes,"12,00","1.896,00","1.703,00","15,00","0,72","0,64","25,00","0,78",[L/M]A|[M-REAL]C|[L]AD+complete|[L]AC+complete|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AD|[L/M]AI|[L/M]AH|[L/M]AJ|[L/M]AE|[M-REAL]AC|[L]AE+complete|[L]C+complete|[L/M]AD|[L]D+complete|[L/M]AE|[L/M]AC|[L]AC+complete|[L/M]AD|[L/M]AG|[L]AD+complete|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[L/M]B
33,"instance_485",1,Yes,"6,00","1.298,00","993,00","16,00","0,86","0,83","28,00","0,92",[L/M]A|[L/M]C|[L]AE+complete|[L/M]AA|[L/M]AC|[L/M]AF|[L/M]AD|[L/M]AJ|[L/M]AE|[L/M]AC|[L]AC+complete|[L]AG+complete|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AI|[L/M]AH|[M-REAL]AG|[M-REAL]t29t27|[L]AD+complete|[L/M]AB|[L/M]D|[L/M]B
34,"instance_134",1,Yes,"10,00","1.918,00","1.713,00","15,00","0,86","0,67","22,00","0,73",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AJ|[L]B+complete|[L/M]AC|[L/M]AH|[L/M]AD|[L/M]AI|[M-REAL]AE|[L/M]AC|[L]D+complete|[L/M]AG|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[M-REAL]B|[L]AE+complete
35,"instance_116",1,Yes,"7,00","1.480,00","1.215,00","22,00","0,88","0,79","25,00","0,85",[L/M]A|[L/M]C|[L/M]AA|[L/M]AC|[L/M]AF|[L/M]AH|[L]D+complete|[L/M]AJ|[L/M]AI|[M-REAL]AD|[L/M]AE|[L/M]AC|[L]AB+complete|[L/M]AG|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[M-REAL]D|[L]AD+complete|[L/M]B
36,"instance_373",1,Yes,"5,00","847,00","568,00","16,00","0,92","0,85","25,00","0,88",[L/M]A|[L/M]C|[L/M]AA|[L/M]AC|[M-REAL]AF|[L/M]AI|[L]AC+complete|[L/M]AJ|[L/M]AD|[L/M]AH|[L/M]AE|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L]AF+complete|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[L/M]B
37,"instance_359",1,Yes,"14,00","2.052,00","1.938,00","16,00","0,64","0,53","22,00","0,70",[M-REAL]A|[L]AD+complete|[L/M]C|[L/M]AA|[L/M]AF|[L]B+complete|[L/M]AC|[L/M]AD|[L/M]AJ|[L/M]AI|[L]D+complete|[L/M]AE|[L/M]AH|[L/M]AC|[L]AE+complete|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AC|[L]A+complete|[L]AB+complete|[L/M]AG|[M-REAL]AD|[M-REAL]t29t27|[M-REAL]AB|[M-REAL]D|[M-REAL]B|[L]AC+complete
38,"instance_101",1,Yes,"8,00","1.572,00","1.318,00","0,00","0,80","0,76","25,00","0,87",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AH|[L]AE+complete|[L/M]AJ|[L/M]AI|[L/M]AD|[L/M]AE|[L]AE+complete|[L/M]AG|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L]AC+complete|[L/M]AD|[L/M]AE|[L]AD+complete|[L/M]AC|[L]AB+complete|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[L/M]D|[L/M]B
39,"instance_453",1,Yes,"11,00","1.996,00","1.821,00","15,00","0,77","0,63","22,00","0,74",[L/M]A|[L/M]C|[L/M]AA|[L/M]AC|[L/M]AF|[L/M]AH|[L]B+complete|[L/M]AD|[L/M]AI|[L]AD+complete|[L/M]AJ|[L/M]AG|[M-REAL]AE|[L]AD+complete|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[L]AE+complete|[L]D+complete|[L/M]AB|[M-REAL]D|[M-REAL]B
40,"instance_50",1,Yes,"12,00","2.043,00","1.887,00","0,00","0,68","0,60","22,00","0,75",[L]AE+complete|[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[M-REAL]AC|[L/M]AD|[L]AD+complete|[L/M]AJ|[L/M]AE|[L/M]AI|[L]AG+complete|[L/M]AH|[L/M]AC|[L]AC+complete|[L]AC+complete|[L/M]AD|[M-REAL]AE|[L]D+complete|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AG|[L/M]AB|[M-REAL]D|[L]AE+complete|[L/M]B
41,"instance_156",1,Yes,"9,00","1.455,00","1.248,00","0,00","0,82","0,70","22,00","0,78",[L/M]A|[M-REAL]C|[L]AC+complete|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AH|[L/M]AJ|[L/M]AD|[L/M]AI|[L/M]AE|[L]B+complete|[L]AB+complete|[L/M]AC|[L/M]AD|[L/M]AE|[L]C+complete|[L/M]AG|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[L/M]D|[M-REAL]B
42,"instance_251",1,Yes,"12,00","1.762,00","1.585,00","0,00","0,68","0,60","22,00","0,75",[M-REAL]A|[L]AC+complete|[L/M]C|[L]AJ+complete|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AH|[L/M]AD|[L]AD+complete|[L/M]AE|[L]AG+complete|[L]AE+complete|[L]A+complete|[L/M]AI|[L]AE+complete|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AJ|[M-REAL]AG|[L/M]AB|[L/M]D|[L/M]B
43,"instance_302",1,Yes,"9,00","1.522,00","1.271,00","0,00","0,82","0,70","22,00","0,78",[L/M]A|[L/M]C|[M-REAL]AA|[L]AI+complete|[L/M]AC|[L/M]AF|[L]AC+complete|[L]AA+complete|[L/M]AH|[L/M]AJ|[L/M]AD|[M-REAL]AI|[L/M]AG|[L]AD+complete|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[L/M]B
44,"instance_380",1,Yes,"7,00","1.300,00","1.001,00","15,00","0,86","0,77","22,00","0,83",[L/M]A|[L/M]C|[L/M]AA|[L]D+complete|[L/M]AC|[M-REAL]AF|[L/M]AH|[L/M]AJ|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AI|[L/M]AC|[L/M]AG|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[L]AF+complete|[L/M]B
45,"instance_249",1,Yes,"16,00","2.358,00","2.233,00","31,00","0,53","0,41","19,00","0,59",[L/M]A|[M-REAL]C|[L]AE+complete|[L/M]AA|[L]AI+complete|[L/M]AF|[L/M]AH|[L]AB+complete|[L]AD+complete|[L]C+complete|[L]AG+complete|[L/M]AC|[L/M]AD|[M-REAL]AE|[L]B+complete|[L/M]AC|[L/M]AD|[L/M]AJ|[M-REAL]t29t27|[M-REAL]AI|[M-REAL]AG|[M-REAL]AB|[L/M]D|[M-REAL]B|[L]AC+complete|[L]AE+complete
46,"instance_469",1,Yes,"7,00","1.113,00","880,00","0,00","0,86","0,77","22,00","0,83",[L/M]A|[M-REAL]C|[L]AB+complete|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AH|[L/M]AI|[L/M]AJ|[L/M]AD|[L/M]AE|[L/M]AG|[L/M]AC|[L/M]AD|[L]AC+complete|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[L]C+complete|[L/M]D|[L/M]B
47,"instance_328",1,Yes,"10,00","1.330,00","1.171,00","15,00","0,80","0,64","20,00","0,73",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[L/M]K|[L/M]I|[M-REAL]J|[L/M]K|[L]D+complete|[L/M]I|[L]F+complete|[L/M]J|[L/M]K|[L/M]I|[M-REAL]J|[L/M]K|[L/M]I|[L/M]J|[M-REAL]t9t5|[M-REAL]F|[M-REAL]D|[L]J+complete|[L]J+complete|[L/M]B
48,"instance_14",1,Yes,"13,00","1.769,00","1.570,00","15,00","0,68","0,52","19,00","0,65",[M-REAL]A|[L]AA+complete|[L/M]C|[M-REAL]AA|[M-REAL]AF|[L/M]AH|[L]AD+complete|[L]A+complete|[L/M]AC|[L/M]AJ|[M-REAL]AD|[L/M]AE|[L/M]AI|[L]AF+complete|[L/M]AC|[L/M]AG|[M-REAL]AD|[L]AB+complete|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[M-REAL]AB|[L]AD+complete|[L/M]D|[L/M]B
49,"instance_257",1,Yes,"7,00","1.230,00","960,00","0,00","0,86","0,77","22,00","0,83",[L]AD+complete|[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AD|[L/M]AI|[L/M]AJ|[L/M]AH|[L/M]AE|[L/M]AC|[L]AB+complete|[L/M]AG|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]t29t27|[M-REAL]AB|[L/M]D|[L/M]B
50,"instance_268",1,Yes,"13,00","1.880,00","1.728,00","15,00","0,68","0,52","19,00","0,65",[M-REAL]A|[L]AG+complete|[L/M]C|[L/M]AA|[L/M]AF|[M-REAL]AC|[L/M]AD|[L/M]AJ|[L/M]AH|[L/M]AI|[L/M]AE|[L]A+complete|[L]AB+complete|[L/M]AC|[M-REAL]AD|[L/M]AE|[L]B+complete|[L/M]AC|[L/M]AD|[M-REAL]AG|[M-REAL]t29t27|[M-REAL]AB|[L/M]D|[M-REAL]B|[L]AC+complete|[L]AD+complete
51,"instance_425",1,Yes,"13,00","1.799,00","1.630,00","0,00","0,59","0,57","22,00","0,76",[M-REAL]A|[L]AE+complete|[L/M]C|[M-REAL]AA|[L/M]AC|[L]AC+complete|[L/M]AF|[L/M]AJ|[L/M]AH|[L]AC+complete|[L]AE+complete|[L/M]AI|[L/M]AD|[L]AA+complete|[L]AD+complete|[L]D+complete|[L]AD+complete|[L/M]AE|[L/M]AC|[L/M]AD|[L]A+complete|[L/M]AG|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[L/M]B
52,"instance_457",1,Yes,"7,00","1.268,00","991,00","0,00","0,86","0,77","22,00","0,83",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L]B+complete|[L/M]AJ|[L/M]AH|[L]AD+complete|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AI|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[L]AD+complete|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[M-REAL]B
53,"instance_205",1,Yes,"11,00","1.601,00","1.421,00","16,00","0,74","0,59","19,00","0,70",[M-REAL]A|[L]AG+complete|[L/M]C|[L]AD+complete|[L/M]AA|[L]B+complete|[L/M]AC|[M-REAL]AF|[L/M]AI|[L/M]AH|[L/M]AD|[L/M]AJ|[L/M]AE|[L]A+complete|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AG|[M-REAL]t29t27|[L/M]AB|[L/M]D|[M-REAL]B|[L]AF+complete
54,"instance_114",1,Yes,"5,00","887,00","634,00","0,00","0,91","0,83","22,00","0,87",[L/M]A|[L/M]C|[L/M]AA|[L]AI+complete|[L/M]AC|[L/M]AF|[L/M]AH|[L/M]AJ|[L/M]AD|[L/M]AE|[M-REAL]AI|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[L]AD+complete|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]t29t27|[L/M]AB|[L/M]D|[L/M]B
55,"instance_316",1,Yes,"11,00","1.829,00","1.684,00","31,00","0,74","0,59","19,00","0,70",[L/M]A|[L/M]C|[M-REAL]AA|[L]AG+complete|[L]AI+complete|[L]D+complete|[L/M]AF|[L/M]AC|[L/M]AD|[L/M]AJ|[L/M]AH|[L/M]AE|[L]AA+complete|[L]AE+complete|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-REAL]AI|[M-REAL]AG|[M-REAL]t29t27|[L/M]AB|[M-REAL]D|[L/M]B
