Result of replaying M2.tpn on Process 13 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Queued States","Num. States","Calculation Time (ms)","Move-Log Fitness","Trace Fitness","Trace Length","Move-Model Fitness",Match
11,"instance_499",1,Yes,"17,00","6.730,00","6.536,00","47,00","0,68","0,65","34,00","0,79",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]Q|[L/M]R|[L]K+complete|[L/M]S|[L/M]O|[L]R+complete|[L/M]Q|[L]Q+complete|[L]F+complete|[L/M]R|[M-REAL]S|[L]H+complete|[L/M]Q|[L/M]G|[L/M]R|[L/M]S|[L]D+complete|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L]S+complete|[L]S+complete|[L/M]Q|[L/M]M|[L]S+complete|[L/M]J|[L/M]I|[L/M]R|[M-REAL]K|[M-REAL]H|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[M-REAL]D|[L/M]B|[L]R+complete
12,"instance_399",1,Yes,"15,00","3.900,00","3.518,00","16,00","0,78","0,68","32,00","0,76",[M-REAL]A|[L]AD+complete|[L/M]C|[L/M]T|[L/M]AD|[L/M]Z|[L/M]V|[L/M]AE|[L/M]Y|[L/M]AC|[L]AE+complete|[L/M]W|[L/M]AA|[L/M]AF|[L]AE+complete|[L/M]AD|[M-REAL]AE|[L]D+complete|[L/M]AF|[L/M]AD|[L/M]AE|[L/M]AF|[L]A+complete|[L]AE+complete|[L]U+complete|[L/M]AD|[M-REAL]AE|[L/M]AF|[L/M]AD|[M-REAL]AE|[L/M]AF|[L/M]AD|[L/M]AE|[L/M]AF|[M-REAL]AD|[L/M]AE|[M-REAL]t30t20\n\n$invisible$|[M-REAL]U|[M-REAL]D|[L/M]B
13,"instance_462",1,Yes,"18,00","6.400,00","6.219,00","38,00","0,68","0,61","31,00","0,72",[L/M]A|[L]Q+complete|[L/M]C|[L]G+complete|[L/M]E|[L]M+complete|[L]S+complete|[L]R+complete|[L/M]L|[M-REAL]G|[L/M]J|[L/M]Q|[L/M]K|[L/M]P|[L]H+complete|[L/M]R|[M-REAL]S|[L]B+complete|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]D+complete|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[L]Q+complete|[L]S+complete|[L/M]I|[L/M]R|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L/M]F|[M-REAL]D|[M-REAL]B
14,"instance_498",1,Yes,"17,00","5.842,00","5.696,00","47,00","0,71","0,60","28,00","0,69",[L/M]A|[L/M]C|[L]L+complete|[L/M]E|[L]D+complete|[L/M]G|[L/M]K|[L/M]J|[M-REAL]Q|[L/M]R|[L]M+complete|[L]H+complete|[L/M]S|[M-REAL]L|[L/M]O|[L/M]I|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L/M]Q|[L]F+complete|[L/M]R|[L/M]S|[L]R+complete|[L]R+complete|[L/M]Q|[M-REAL]H|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]M|[M-REAL]F|[M-REAL]D|[L/M]B
15,"instance_233",1,Yes,"17,00","5.588,00","5.309,00","52,00","0,71","0,60","28,00","0,69",[M-REAL]A|[M-REAL]C|[L]D+complete|[L]S+complete|[L]G+complete|[L/M]E|[L/M]Q|[L/M]L|[M-REAL]G|[L/M]I|[L]H+complete|[L/M]O|[L/M]R|[L/M]M|[L/M]J|[M-REAL]S|[L]C+complete|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]F+complete|[L/M]K|[M-REAL]H|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[M-REAL]D|[L]A+complete|[L]Q+complete|[L/M]B
16,"instance_290",1,Yes,"18,00","5.889,00","5.715,00","169,00","0,64","0,58","28,00","0,69",[L/M]A|[L/M]C|[M-REAL]E|[L/M]Q|[L/M]R|[L/M]G|[M-REAL]S|[L/M]Q|[L/M]K|[M-REAL]L|[L]B+complete|[L/M]O|[L/M]R|[L/M]I|[L]H+complete|[L]R+complete|[L/M]M|[L]Q+complete|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L]E+complete|[L]S+complete|[L]D+complete|[L]L+complete|[L/M]J|[L/M]Q|[L]Q+complete|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L]S+complete|[L/M]F|[M-REAL]D|[M-REAL]B
17,"instance_394",1,Yes,"13,00","3.711,00","3.396,00","15,00","0,79","0,70","29,00","0,77",[L/M]A|[L/M]C|[L/M]T|[L]D+complete|[L/M]Z|[M-REAL]V|[L/M]Y|[M-REAL]AD|[L/M]AE|[L]AE+complete|[L/M]AC|[L]AE+complete|[L/M]AA|[L/M]AF|[L/M]AD|[M-REAL]AE|[L/M]AF|[L/M]W|[L/M]AD|[M-REAL]AE|[L]U+complete|[L/M]AF|[L/M]AD|[L/M]AE|[L/M]AF|[L/M]AD|[L/M]AE|[L/M]AF|[L/M]AD|[L/M]AE|[M-REAL]t30t20\n\n$invisible$|[M-REAL]U|[M-REAL]D|[L]AD+complete|[L/M]B|[L]V+complete
18,"instance_234",1,Yes,"15,00","5.360,00","4.969,00","46,00","0,75","0,65","28,00","0,72",[L]G+complete|[L/M]A|[L/M]C|[L/M]E|[M-REAL]G|[L/M]I|[L/M]Q|[L/M]R|[L]R+complete|[L/M]K|[L]R+complete|[L]P+complete|[L]Q+complete|[L/M]S|[M-REAL]Q|[L/M]R|[L]H+complete|[L]R+complete|[L/M]L|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]N|[L/M]M|[M-REAL]R|[L/M]S|[L/M]J|[L/M]Q|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L/M]F|[L/M]D|[L/M]B
19,"instance_225",1,Yes,"16,00","5.732,00","5.629,00","31,00","0,68","0,63","28,00","0,73",[L]M+complete|[L/M]A|[L/M]C|[L/M]E|[L]H+complete|[L/M]Q|[L/M]L|[L/M]O|[L]J+complete|[L]S+complete|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]G|[L/M]K|[L]Q+complete|[L]Q+complete|[L/M]I|[L]D+complete|[L/M]S|[L]B+complete|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[M-REAL]J|[M-REAL]t17t5\n\n$invisible$|[M-REAL]M|[M-REAL]H|[L]R+complete|[L/M]F|[M-REAL]D|[M-REAL]B
20,"instance_165",1,Yes,"17,00","5.352,00","5.178,00","36,00","0,68","0,58","25,00","0,65",[L/M]A|[L/M]C|[M-REAL]E|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]G|[L/M]Q|[L]P+complete|[L]F+complete|[L/M]L|[L/M]R|[M-REAL]N|[L]H+complete|[L/M]M|[L/M]J|[L]Q+complete|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]I|[L/M]K|[L]B+complete|[L]E+complete|[L]R+complete|[L/M]S|[L]R+complete|[L/M]Q|[M-REAL]H|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L/M]D|[M-REAL]B
21,"instance_229",1,Yes,"17,00","5.385,00","5.214,00","38,00","0,68","0,58","25,00","0,65",[L]O+complete|[L/M]A|[L/M]C|[L/M]E|[L/M]Q|[L/M]L|[L]Q+complete|[L]B+complete|[L/M]R|[M-REAL]G|[L]R+complete|[L/M]K|[L/M]I|[M-REAL]N|[L/M]M|[L]Q+complete|[L/M]J|[L/M]S|[M-REAL]Q|[L]F+complete|[L/M]R|[L/M]S|[M-REAL]Q|[L]G+complete|[L/M]R|[L]D+complete|[L/M]S|[L/M]Q|[L/M]H|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[M-REAL]D|[M-REAL]B
22,"instance_247",1,Yes,"17,00","5.777,00","5.658,00","31,00","0,61","0,60","28,00","0,74",[L/M]A|[M-REAL]C|[L]K+complete|[L/M]E|[L/M]G|[L]S+complete|[L]C+complete|[L/M]Q|[M-REAL]L|[L]D+complete|[L/M]P|[L/M]I|[M-REAL]K|[M-REAL]J|[L/M]H|[L/M]R|[L]R+complete|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]Q+complete|[L]S+complete|[L/M]M|[M-REAL]t17t5\n\n$invisible$|[L/M]F|[M-REAL]D|[L]J+complete|[L]R+complete|[L]Q+complete|[L]L+complete|[L/M]B
23,"instance_78",1,Yes,"12,00","5.277,00","4.939,00","22,00","0,75","0,72","28,00","0,81",[L/M]A|[L/M]C|[M-REAL]E|[L]R+complete|[L/M]G|[L/M]Q|[L]P+complete|[L]E+complete|[L]F+complete|[L/M]I|[L/M]J|[L]Q+complete|[L/M]L|[L]H+complete|[L/M]R|[L/M]S|[M-REAL]N|[L/M]M|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]K|[L/M]R|[M-REAL]H|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L]S+complete|[L/M]D|[L/M]B
24,"instance_87",1,Yes,"10,00","2.804,00","2.408,00","15,00","0,79","0,77","29,00","0,85",[L/M]A|[L/M]C|[L/M]T|[L]AE+complete|[L/M]V|[L/M]Z|[L/M]Y|[L/M]AC|[L/M]AD|[L/M]AA|[L]AF+complete|[L/M]W|[L]AF+complete|[L/M]AE|[M-REAL]AF|[L/M]AD|[L/M]AE|[L/M]AF|[L/M]AD|[L/M]AE|[M-REAL]AF|[L]AE+complete|[L/M]AD|[L]AD+complete|[L/M]AE|[L/M]AF|[L/M]AD|[M-REAL]AE|[M-REAL]t30t20\n\n$invisible$|[L]AF+complete|[L/M]U|[L/M]D|[L/M]B
25,"instance_127",1,Yes,"18,00","5.356,00","5.229,00","31,00","0,60","0,55","25,00","0,65",[L/M]A|[L]J+complete|[L]Q+complete|[L/M]C|[L/M]E|[M-REAL]Q|[L/M]R|[M-REAL]L|[L/M]N|[L]R+complete|[L]R+complete|[L]H+complete|[L]K+complete|[L/M]M|[L/M]S|[L/M]Q|[L]L+complete|[L/M]G|[M-REAL]R|[L/M]S|[L/M]Q|[L]B+complete|[L]Q+complete|[L/M]I|[L/M]R|[M-REAL]K|[M-REAL]t17t5\n\n$invisible$|[M-REAL]J|[M-REAL]H|[L/M]F|[L/M]D|[M-REAL]B|[L]S+complete
26,"instance_458",1,Yes,"16,00","3.632,00","3.413,00","16,00","0,65","0,61","26,00","0,71",[M-REAL]A|[L]AD+complete|[L]W+complete|[L/M]C|[L/M]T|[L]Y+complete|[L/M]AD|[L/M]V|[L]AF+complete|[L]AC+complete|[L/M]Z|[L/M]AE|[M-REAL]AB|[L/M]AA|[M-REAL]AF|[L/M]AD|[L/M]AE|[L/M]AF|[L]AF+complete|[L/M]AD|[L/M]AE|[L/M]AF|[L]AE+complete|[L]U+complete|[L/M]AD|[L/M]AE|[M-REAL]X|[M-REAL]W|[M-REAL]t30t20\n\n$invisible$|[M-REAL]U|[L]A+complete|[L/M]D|[L/M]B
27,"instance_108",1,Yes,"16,00","5.099,00","4.780,00","22,00","0,57","0,63","28,00","0,80",[L/M]A|[M-REAL]C|[L]R+complete|[L/M]E|[L/M]G|[L]B+complete|[L/M]L|[L]S+complete|[L/M]O|[L/M]K|[L]S+complete|[L]S+complete|[L/M]M|[L/M]I|[L/M]J|[L/M]H|[L]R+complete|[L]R+complete|[L/M]Q|[L]Q+complete|[L/M]R|[L]Q+complete|[L/M]S|[L/M]Q|[L]Q+complete|[L]C+complete|[L]D+complete|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[L/M]F|[M-REAL]D|[M-REAL]B
28,"instance_118",1,Yes,"16,00","5.067,00","4.974,00","50,00","0,64","0,60","25,00","0,70",[M-REAL]A|[L]O+complete|[L/M]C|[L/M]E|[L/M]Q|[L/M]G|[L]Q+complete|[L]A+complete|[L]F+complete|[L/M]J|[L]H+complete|[L/M]R|[L]R+complete|[L]B+complete|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]K|[L/M]L|[L/M]I|[L]S+complete|[L/M]Q|[L/M]R|[M-REAL]N|[L]D+complete|[L/M]M|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[M-REAL]F|[M-REAL]D|[M-REAL]B
29,"instance_335",1,Yes,"16,00","5.071,00","4.814,00","47,00","0,64","0,60","25,00","0,70",[L/M]A|[M-REAL]C|[L]R+complete|[L/M]E|[L]R+complete|[L]I+complete|[L/M]G|[L/M]J|[L/M]L|[L/M]Q|[L]C+complete|[L]D+complete|[L/M]P|[L/M]R|[M-REAL]S|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L]S+complete|[L]H+complete|[L]S+complete|[L/M]M|[L/M]K|[L/M]Q|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]I|[M-REAL]H|[L/M]F|[M-REAL]D|[L/M]B
30,"instance_31",1,Yes,"14,00","3.583,00","3.285,00","33,00","0,69","0,66","26,00","0,75",[L/M]A|[M-REAL]C|[L]AD+complete|[L]AF+complete|[L/M]T|[L/M]V|[L/M]Z|[L]C+complete|[L/M]AD|[L/M]AB|[L/M]AE|[L/M]X|[L/M]AF|[L/M]AA|[L/M]W|[M-REAL]AD|[L/M]AE|[L/M]AF|[L/M]AD|[L]B+complete|[L/M]AE|[L/M]AF|[L]AE+complete|[L]AE+complete|[L/M]AD|[M-REAL]AE|[M-REAL]t30t20\n\n$invisible$|[L]D+complete|[L/M]U|[M-REAL]D|[M-REAL]B|[L]AD+complete
31,"instance_279",1,Yes,"17,00","4.844,00","4.711,00","35,00","0,64","0,54","22,00","0,61",[L/M]A|[M-REAL]C|[L]R+complete|[L/M]E|[L/M]Q|[M-REAL]G|[L]N+complete|[L/M]K|[M-REAL]R|[L]B+complete|[L]C+complete|[L/M]S|[L/M]L|[L/M]J|[L/M]Q|[L]F+complete|[L]S+complete|[L/M]R|[M-REAL]N|[L]H+complete|[L/M]M|[M-REAL]S|[L]G+complete|[L/M]Q|[L/M]R|[L/M]I|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[M-REAL]F|[L/M]D|[M-REAL]B
32,"instance_54",1,Yes,"14,00","4.880,00","4.615,00","31,00","0,68","0,65","25,00","0,74",[M-REAL]A|[L]F+complete|[L/M]C|[L/M]E|[L/M]G|[L]S+complete|[L/M]L|[L/M]J|[L/M]Q|[L/M]I|[L/M]N|[L/M]M|[L/M]R|[M-REAL]S|[L]R+complete|[L]H+complete|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L/M]Q|[L]S+complete|[L/M]K|[L/M]R|[M-REAL]H|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L]A+complete|[L]B+complete|[L/M]D|[M-REAL]B
33,"instance_167",1,Yes,"20,00","5.004,00","4.926,00","31,00","0,50","0,46","22,00","0,55",[L]K+complete|[L/M]A|[M-REAL]C|[L]S+complete|[L]H+complete|[L/M]E|[L/M]Q|[L]M+complete|[L]C+complete|[L/M]R|[L]Q+complete|[L]I+complete|[L/M]S|[L]D+complete|[L]N+complete|[L]R+complete|[L/M]L|[L/M]Q|[L]F+complete|[L/M]R|[L/M]G|[L/M]J|[M-REAL]I|[M-REAL]K|[M-REAL]H|[M-REAL]N|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[M-REAL]D|[L/M]B
34,"instance_240",1,Yes,"17,00","5.115,00","4.816,00","31,00","0,56","0,58","25,00","0,70",[M-REAL]A|[L]R+complete|[L/M]C|[L]Q+complete|[L/M]E|[L/M]G|[L/M]K|[L/M]J|[L]S+complete|[L/M]I|[M-REAL]L|[L/M]P|[L/M]H|[L/M]M|[L]S+complete|[L]B+complete|[L/M]Q|[M-REAL]R|[L]D+complete|[L/M]S|[L/M]Q|[L]L+complete|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[L]R+complete|[L/M]F|[M-REAL]D|[M-REAL]B|[L]Q+complete|[L]A+complete|[L]R+complete
35,"instance_241",1,Yes,"14,00","4.627,00","4.465,00","38,00","0,77","0,62","22,00","0,65",[L]J+complete|[L]K+complete|[L/M]A|[L/M]C|[L/M]E|[L/M]G|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]L|[L/M]P|[L/M]M|[M-REAL]R|[L]F+complete|[L/M]S|[L]H+complete|[L]D+complete|[L/M]Q|[L/M]R|[L/M]I|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]J|[M-REAL]t17t5\n\n$invisible$|[M-REAL]K|[M-REAL]H|[M-REAL]F|[M-REAL]D|[L/M]B
36,"instance_417",1,Yes,"17,00","5.086,00","4.871,00","37,00","0,56","0,58","25,00","0,70",[L/M]A|[M-REAL]C|[L]G+complete|[L/M]E|[L/M]Q|[M-REAL]L|[L/M]P|[L/M]M|[L]F+complete|[L/M]R|[M-REAL]G|[L/M]I|[L/M]J|[L]R+complete|[L]L+complete|[L]Q+complete|[L]H+complete|[L/M]S|[L]S+complete|[L/M]Q|[L]C+complete|[L/M]R|[L]R+complete|[L]Q+complete|[L/M]K|[M-REAL]H|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L]S+complete|[L/M]D|[L/M]B
37,"instance_355",1,Yes,"14,00","4.762,00","4.517,00","18,00","0,68","0,65","25,00","0,74",[M-REAL]A|[L/M]C|[L]P+complete|[L]R+complete|[L/M]E|[L/M]G|[L/M]J|[L]R+complete|[L/M]Q|[M-REAL]R|[L]M+complete|[L/M]S|[L/M]Q|[L]H+complete|[L/M]R|[L/M]I|[L/M]S|[L/M]Q|[L/M]K|[L]Q+complete|[L/M]R|[L]S+complete|[L/M]L|[M-REAL]N|[M-REAL]H|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[L]A+complete|[L/M]F|[L/M]D|[L/M]B
38,"instance_313",1,Yes,"17,00","5.321,00","5.183,00","47,00","0,56","0,58","25,00","0,70",[L/M]A|[M-REAL]C|[L]S+complete|[L/M]E|[L/M]G|[L/M]L|[L]C+complete|[L/M]K|[M-REAL]N|[L]D+complete|[L]F+complete|[L/M]M|[L/M]I|[M-REAL]J|[L/M]H|[L]R+complete|[L/M]Q|[L]S+complete|[L/M]R|[L/M]S|[L/M]Q|[L]Q+complete|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[M-REAL]D|[L/M]B|[L]Q+complete|[L]R+complete|[L]J+complete|[L]O+complete
39,"instance_206",1,Yes,"14,00","4.880,00","4.644,00","35,00","0,68","0,65","25,00","0,74",[M-REAL]A|[L]D+complete|[L/M]C|[L/M]E|[L]S+complete|[L/M]G|[L]R+complete|[L/M]Q|[L/M]L|[L/M]I|[L/M]J|[L]H+complete|[L/M]P|[L/M]M|[L]Q+complete|[L/M]R|[L]Q+complete|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]K|[M-REAL]Q|[L]B+complete|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L/M]F|[M-REAL]D|[M-REAL]B|[L]A+complete
